SAMPLE_ID,Suburb,Address,Rooms,Price,Date,Postcode,Bedroom2,Bathroom,Car,Landsize,YearBuilt,Latitude,Longitude
2672,Footscray,9 Lynch St,3,1003000,03/12/2016,3011,3,1,1,292,1900,-37.797,144.9051
12020,Beaumaris,2/37 Bonanza Rd,3,900000,29/07/2017,3193,3,2,2,243,,-37.98214,145.05175
302,Ascot Vale,4 The Parade,2,950000,07/05/2016,3032,2,1,1,173,1900,-37.7731,144.9206
2244,Elsternwick,5 Baxter St,3,1390000,15/10/2016,3185,3,1,2,463,,-37.8879,145.0134
10082,Mount Waverley,3/20 Briggs St,4,970000,24/06/2017,3149,4,2,2,196,,-37.89456,145.11388
6132,Sunshine West,64 Bardsley St,4,625000,07/11/2016,3020,4,2,2,611,1960,-37.7917,144.8196
10256,Blackburn South,4 Ryan Gr,4,1258000,27/05/2017,3130,4,1,2,769,,-37.83998,145.15198
933,Bentleigh East,98 Brady Rd,4,1175000,25/02/2017,3165,4,2,2,620,1980,-37.9281,145.0669
8402,Reservoir,42 Elinda Pl,2,395000,22/04/2017,3073,2,1,1,166,1990,-37.6986,145.024
3507,Keilor East,54 Norwood Dr,4,770000,22/05/2016,3033,4,2,2,546,1970,-37.7428,144.8536
4068,Mont Albert,55 View St,4,2000000,18/06/2016,3127,3,2,1,626,1929,-37.8197,145.1106
2823,Glen Iris,1/15 Scott Gr,3,1220000,15/10/2016,3146,3,2,2,278,1999,-37.8574,145.0496
10967,Thomastown,18 Dakota Dr,3,605000,08/07/2017,3074,3,1,2,533,1975,-37.68579,144.98878
2330,Elwood,3/211 Brighton Rd,1,390000,25/02/2017,3184,1,1,1,644,1960,-37.8798,144.994
4110,Moonee Ponds,7 Browning St,3,1260000,11/02/2017,3039,3,2,1,253,,-37.7708,144.9234
14946,Prahran,69 Greville St,4,2668000,26/08/2017,3181,4,2,2,383,,-37.84879,144.98882
1826,Caulfield North,8/359 Balaclava Rd,1,290000,10/12/2016,3161,1,1,1,952,1970,-37.8744,145.0371
986,Box Hill,31/41 Harrow St,2,465000,13/08/2016,3128,2,2,1,0,2010,-37.8216,145.127
6009,Sunshine,36 Matthews St,5,895000,07/05/2016,3020,4,2,2,690,,-37.7933,144.8408
1836,Caulfield North,1/13 Narong Rd,2,536000,25/02/2017,3161,2,1,1,771,1960,-37.8686,145.0239
6449,Toorak,4/83 Grange Rd,3,1550000,15/10/2016,3142,3,2,2,117,2000,-37.8343,145.0112
11898,Pascoe Vale,1/18 Sylvan Gr,2,706000,22/07/2017,3044,2,1,1,205,1998,-37.72998,144.94138
830,Bentleigh East,4 Tambet St,3,1100000,08/10/2016,3165,3,1,2,578,1955,-37.9186,145.0709
11458,Dingley Village,29 Elliott Cr,3,800000,15/07/2017,3172,3,2,4,801,1980,-37.98596,145.13187
2598,Fitzroy North,2 Scotchmer St,2,1210000,15/10/2016,3068,2,1,1,223,1885,-37.7829,144.9782
